Dataset,attribute,classes,examples,isMissing£¿,RN,NB,J48,KNN,SVM,ANN,OneR
abalone,9,3,4177,FALSE,58.87,57.65,60.69,57.94,66.63,65.55,60.95
absenteeism_at_work,20,2,740,FALSE,98.92,86.08,99.73,83.65,84.73,97.7,95.27
acute-inflammation,7,2,120,FALSE,100,100,100,100,100,100,79.17
acute-nephritis,7,2,120,FALSE,100,95,100,100,100,100,91.67
adult,15,2,1628,FALSE,76.04,80.41,81.76,78.38,83.29,80.71,80.34
aggregation,3,7,788,FALSE,84.64,99.87,99.62,99.87,99.87,99.24,59.64
algerianforest,14,2,243,FALSE,89.35,94.67,95.5,88.1,58.85,95.92,97.15
annealing,32,5,798,FALSE,76.19,70.43,96.5,89.35,88.98,91.11,83.71
arrhythmia,263,13,452,FALSE,54.2,60.85,64.38,53.55,61.72,66.38,59.51
au1_1000,21,2,1000,FALSE,74.1,72.8,77.9,66.7,74.1,68.8,74.1
au4_2500,101,3,1000,FALSE,62.6,57.3,72.4,63.6,61.5,64.7,53.6
au6_1000,41,8,1000,FALSE,23.7,18.7,19.4,13.4,24,14.6,24.3
au6_250_drift_au6_cd1_500,41,8,750,FALSE,22.13,20.4,19.33,16.27,22,14.93,24.53
au6_cd1_400,41,8,400,FALSE,28.75,25.75,37,17.75,27.75,21,31.75
au7_300_drift_au7_cpd1_800,13,5,1100,FALSE,28.64,34.18,37.91,32,28.36,33.45,24.91
au7_700,13,5,700,FALSE,41,42,52.29,35.57,37.29,41.29,44.71
au7_cpd1_500,13,5,500,FALSE,39.4,38.2,53.4,37.8,38.2,39.4,40.2
audiology-std,60,18,171,FALSE,28.07,73.04,76.05,74.18,63.14,84.15,47.39
audit_risk,25,2,776,TRUE,90.72,94.59,99.87,97.81,98.45,96.91,100
autism-adolescent-data,21,2,104,TRUE,80.82,98,100,90.45,96.18,89.45,100
autism-adult-data,21,2,704,TRUE,83.94,97.01,100,94.89,99.29,100,100
autism-child-data,21,2,292,TRUE,91.75,98.97,100,88.34,99.66,99.66,100
autos,26,7,205,TRUE,71.67,56.62,82.88,76.43,34.64,77,62.36
avila,11,12,4172,FALSE,97.2,27.16,94.01,75.6,67.76,61.72,71.45
balance-scale,5,3,625,FALSE,79.67,90.39,76.65,80.97,90.4,90.7,56.33
balloons,5,2,16,FALSE,65,60,65,75,70,75,45
bank,17,2,4521,FALSE,88.48,83.7,88.79,86.09,89.54,88.59,88.56
blood,5,2,748,FALSE,76.88,74.47,77.81,69.91,78.48,78.21,76.34
breast-cancer,10,2,286,FALSE,70.64,72.03,71.71,70.28,97.54,72.45,70.32
breast-cancer-wisc,10,2,699,FALSE,96.13,95.85,93.85,95.56,79.32,94.85,92.71
breast-cancer-wisc-diag,31,2,569,FALSE,93.68,92.98,93.33,95.96,97.14,96.13,89.11
breast-cancer-wisc-prog,34,2,198,FALSE,76.29,67.66,74.24,72.79,73.83,73.79,70.11
breast-tissue,10,6,106,FALSE,68,66.36,66.45,71.64,58.36,64.09,54.55
bupa,7,2,345,FALSE,67.55,57.17,62.87,61.75,58.86,66.66,54.24
caesarian,6,2,80,FALSE,73.75,65,57.5,61.25,55,56.25,48.75
car,7,4,1728,FALSE,70.02,84.32,97.57,96.59,97.4,93.23,70.02
cardiotocography-10clases,22,10,2126,FALSE,66.65,70.93,83.35,78.65,81.23,82.92,47.6
cardiotocography-3clases,22,3,2126,FALSE,77.89,82.08,92.9,92.05,91.06,92.19,81.42
cervical-cancer,20,2,72,FALSE,76.61,90.36,84.64,88.75,70.89,92.86,77.86
chemicalcomposionofceramic,18,2,88,FALSE,100,100,98.75,100,45.56,100,100
chess-krvk,7,18,28056,FALSE,26.95,30.68,80.97,49.95,46.02,45.42,24.8
chess-krvkp,37,2,3196,FALSE,76.85,85.54,99.31,95.28,98.69,99.19,66.46
congressional-voting,17,2,435,FALSE,61.15,57.67,59.1,59.56,61.61,59.75,62.98
conn-bench-sonar-mines-rocks,61,2,208,FALSE,77.02,68.36,71.17,86.57,84.17,80.81,63.45
conn-bench-vowel-deterding,12,11,528,FALSE,75.57,65.51,79.54,99.25,94.13,84.65,35.41
connect-4,43,2,67557,FALSE,75.38,70.84,84.6,71.37,74.39,74.21,75.38
connectionist,61,2,207,FALSE,78.69,67.26,74.33,87.05,61.4,93.52,62.86
contrac,10,3,1473,FALSE,48,48.89,53.36,43.25,54.51,54.54,48
covid-19,8,3,14,FALSE,75,60,70,60,60,65,80
credit-approval,16,2,690,FALSE,82.03,76.96,84.93,82.17,85.36,85.22,85.51
crowdsource,29,6,2109,FALSE,75.77,81.41,88.81,95.31,75.34,92.6,78.52
crx,16,2,690,TRUE,83.48,77.68,86.09,81.16,55.8,83.04,85.51
cryother,7,2,90,FALSE,90,83.33,93.33,90,82.22,87.78,81.11
cylinder-bands,36,2,512,FALSE,66.22,67.59,72.28,69.16,75.78,73.05,66.61
dbworld_bodies,4703,2,64,FALSE,57.38,75.48,80,59.29,54.52,0,86.43
dbworld_bodies_stemmed,3722,2,64,FALSE,57.38,76.9,86.67,64.05,54.52,0,74.29
dbworld_subjects,243,2,64,FALSE,54.52,89.52,72.62,80.24,54.52,89.52,62.62
dbworld_subjects_stemmed,230,2,64,FALSE,54.52,86.43,75.71,83.33,54.52,87.62,60.95
dermatology,35,6,366,FALSE,85.53,97.54,96.47,95.35,97.55,98.36,49.73
diabetes,9,2,768,FALSE,72.52,76.31,73.83,70.17,65.11,75.4,71.48
diabetic,20,2,1151,FALSE,64.38,56.82,64.38,61.33,58.21,72.03,53.26
divorce,55,2,170,FALSE,97.65,97.65,95.29,97.65,97.65,97.65,95.29
dota2Train,116,2,926,FALSE,52.7,54.22,54.12,54.43,52.7,50.44,55.39
dow_jones_index,15,2,749,TRUE,65.43,50.34,72.5,54.61,52.07,54.6,56.48
dry_bean_dataset,17,7,3402,FALSE,93.3,90.24,93.06,94.62,61.52,92.53,68.55
early_stage_diabetes_data_upload,17,2,520,FALSE,84.04,87.12,95.96,98.08,94.23,96.35,82.31
echocardiogram,11,2,131,FALSE,68.68,79.34,78.57,74.01,81.65,77.14,85.49
ecoli,8,8,336,FALSE,71.76,86.89,83.93,80.37,86.59,86,66.97
eegeyesate,15,2,14980,FALSE,67.94,46.77,84.5,83.65,55.12,54.81,62.6
electrical,14,2,312,FALSE,84.91,97.46,100,91.32,82.67,98.71,99.68
energy-y1,9,3,768,FALSE,81.25,81.77,97.53,75.79,88.67,88.94,84.5
energy-y2,9,3,768,FALSE,89.84,82.82,90.23,76.31,89.72,91.01,88.41
extentionofz-alizadehsani,59,2,303,FALSE,71.29,93.4,99.68,90.45,71.29,98.03,86.49
fertility,10,2,100,FALSE,88,88,85,83,88,90,88
first-order,57,2,1529,FALSE,90.45,31.39,100,99.41,90.45,99.87,90.78
flags,29,8,194,FALSE,47.97,46.34,60.95,45,52.61,46.5,57.26
